参数组合,综合得分,总收益率,胜率,最大回撤,夏普比率,交易次数
盈利15/30/60%+回撤10/18/25%,90.35240323165377,809.2536507310639,64.70588235294117,-52.017856581187885,0.9106588554092784,17
盈利30/50/100%+回撤5/8/12%,82.86643986398337,629.4524528840309,65.0,-52.799159598675885,0.9629185004049582,20
盈利25/50/100%+回撤5/8/12%,81.52695165930271,616.6622127667954,65.0,-53.015408502570374,0.9544137834729679,20
盈利20/40/80%+回撤5/8/12%,81.05086047736216,598.148994293508,65.0,-53.01540850257036,0.9647604686128469,20
盈利30/50/100%+回撤5/10/15%,74.21293624886304,578.2115728701282,63.1578947368421,-53.61315888584121,0.9152163972338155,19
盈利25/50/100%+回撤5/10/15%,72.87894326749381,566.1111140617166,63.1578947368421,-53.840139336080085,0.9064830171587788,19
盈利20/40/80%+回撤5/10/15%,71.41278972053806,541.2731481363184,63.1578947368421,-53.84013933608009,0.8999856868218251,19
盈利20/40/80%+回撤7/12/18%,66.93847389577829,523.7694233817065,63.1578947368421,-52.88741224149677,0.7699592832608592,19
盈利20/40/80%+回撤8/15/20%,64.39380853010056,535.9196223497511,61.111111111111114,-52.88741224149677,0.7700965170469124,18
盈利15/30/60%+回撤8/15/20%,63.6381609147976,524.7760889326761,61.111111111111114,-52.887412241496754,0.7647712743798607,18
