参数组合,盈利目标,回撤阈值,总收益率,最大回撤,夏普比率,卡尔玛比率,胜率,交易次数,波动率,回撤绝对值,收益得分,胜率得分,回撤得分,夏普得分,综合得分
盈利15/30/60%+回撤10/18/25%,15/30/60,10/18/25,809.2536507310639,-52.017856581187885,0.9106588554092784,0.6885883235734455,64.70588235294117,17,36.03862024091805,52.017856581187885,100.0,75.16339869281046,100.0,89.01691811905313,90.35240323165377
盈利30/50/100%+回撤5/8/12%,30/50/100,5/8/12,629.4524528840309,-52.799159598675885,0.9629185004049582,0.6017401179218478,65.0,20,29.879343382624597,52.799159598675885,65.1848859985669,76.66666666666669,94.5800214709124,99.62606498306766,82.86643986398337
盈利25/50/100%+回撤5/8/12%,25/50/100,5/8/12,616.6622127667954,-53.015408502570374,0.9544137834729679,0.5931884799369093,65.0,20,29.806914019363344,53.015408502570374,62.70829700405925,76.66666666666669,93.0798808214942,97.89953601457171,81.52695165930271
盈利20/40/80%+回撤5/8/12%,20/40/80,5/8/12,598.148994293508,-53.01540850257036,0.9647604686128469,0.5841950450000329,65.0,20,28.993040102557277,53.01540850257036,59.12356108795438,76.66666666666669,93.07988082149429,100.0,81.05086047736216
盈利30/50/100%+回撤5/10/15%,30/50/100,5/10/15,578.2115728701282,-53.61315888584121,0.9152163972338155,0.567518218102805,63.1578947368421,19,29.967168945672178,53.61315888584121,55.26305510656422,67.2514619883041,88.9332255922616,89.9421373883268,74.21293624886304
盈利25/50/100%+回撤5/10/15%,25/50/100,5/10/15,566.1111140617166,-53.840139336080085,0.9064830171587788,0.559081420168496,63.1578947368421,19,29.896888357631934,53.840139336080085,52.920029265085134,67.2514619883041,87.35863911392865,88.1691878812457,72.87894326749381
盈利20/40/80%+回撤5/10/15%,20/40/80,5/10/15,541.2731481363184,-53.84013933608009,0.8999856868218251,0.5463724697814223,63.1578947368421,19,29.352433365598458,53.84013933608009,48.1106251809581,67.2514619883041,87.3586391139286,86.85017525162571,71.41278972053806
盈利20/40/80%+回撤7/12/18%,20/40/80,7/12/18,523.7694233817065,-52.88741224149677,0.7699592832608592,0.5468356191596313,63.1578947368421,19,33.665053961103695,52.88741224149677,44.72135870176609,67.2514619883041,93.96780390804888,60.4537232341666,66.93847389577829
盈利20/40/80%+回撤8/15/20%,20/40/80,8/15/20,535.9196223497511,-52.88741224149677,0.7700965170469124,0.5533699337265173,61.111111111111114,18,34.107807561274804,52.88741224149677,47.07401578791325,56.790123456790155,93.96780390804888,60.48158284536495,64.39380853010056
盈利15/30/60%+回撤8/15/20%,15/30/60,8/15/20,524.7760889326761,-52.887412241496754,0.7647712743798607,0.5473811441042626,61.111111111111114,18,33.93115443896127,52.887412241496754,44.91628051729337,56.790123456790155,93.96780390804898,59.400513857124814,63.6381609147976
盈利30/50/100%+回撤10/18/25%,30/50/100,10/18/25,569.5526032287364,-53.83753335012496,0.7113081967703704,0.5608371669456772,58.82352941176471,17,38.23109279901421,53.83753335012496,53.58640879491687,45.098039215686306,87.37671710365575,48.547060064850136,58.479605252319075
盈利20/40/80%+回撤10/18/25%,20/40/80,10/18/25,569.5526032287364,-53.83753335012496,0.7113081967703704,0.5608371669456772,58.82352941176471,17,38.23109279901421,53.83753335012496,53.58640879491687,45.098039215686306,87.37671710365575,48.547060064850136,58.479605252319075
盈利25/50/100%+回撤10/18/25%,25/50/100,10/18/25,569.5526032287364,-53.83753335012496,0.7113081967703704,0.5608371669456772,58.82352941176471,17,38.23109279901421,53.83753335012496,53.58640879491687,45.098039215686306,87.37671710365575,48.547060064850136,58.479605252319075
盈利15/30/60%+回撤7/12/18%,15/30/60,7/12/18,412.37925331095073,-53.2254899810794,0.6953528784401036,0.47813743853013657,63.1578947368421,19,32.284470432372665,53.2254899810794,23.152751172512218,67.2514619883041,91.6225242295041,45.30799643474135,57.93085673394358
盈利30/60/120%+回撤5/8/12%,30/60/120,5/8/12,497.7471396920313,-54.73903334566557,0.737796639295272,0.5147725272735857,57.89473684210527,19,34.12613882317354,54.73903334566557,39.68263379847355,40.35087719298249,81.12291990789909,53.9244363744083,53.09153885936957
盈利35/70/150%+回撤3/6/10%,35/70/150,3/6/10,437.4614493608931,-54.14970034333118,0.7013027986953216,0.4862927509984316,59.09090909090909,22,33.270374493166685,54.14970034333118,28.009445818272876,46.464646464646485,85.2111829091157,46.51588022005985,51.54772716525306
盈利30/60/120%+回撤3/6/10%,30/60/120,3/6/10,378.9106172592019,-56.956452320911055,0.6579576422866747,0.42705190551638067,63.63636363636363,22,32.408410701014816,56.956452320911055,16.672180444582903,69.69696969696969,65.74045885653554,37.71644941219595,49.05554061680971
盈利30/60/120%+回撤5/10/15%,30/60/120,5/10/15,452.75485197292966,-55.51957865544802,0.6954039419978533,0.4825873181524239,57.89473684210527,19,34.21471051764424,55.51957865544802,30.97072506325792,40.35087719298249,75.70819767426083,45.318362765848455,47.83866639544412
盈利30/50/100%+回撤3/6/10%,30/50/100,3/6/10,361.9336636733479,-56.95645232091107,0.640271669509532,0.41612888413655136,63.63636363636363,22,32.33193960391094,56.95645232091107,13.384913276366431,69.69696969696969,65.74045885653544,34.126048393567096,47.515643621029795
盈利25/50/100%+回撤3/6/10%,25/50/100,3/6/10,356.20985294256747,-57.48980405400893,0.6346136828840228,0.40854251672648323,63.63636363636363,22,32.282678087294315,57.48980405400893,12.276605181087326,69.69696969696969,62.04054361604881,32.97742958703637,46.08386402578221
盈利40/80/200%+回撤10/18/25%,40/80/200,10/18/25,678.1847510544128,-64.78936175196553,0.6898579193065988,0.5087234566350483,58.82352941176471,17,43.42904129266536,64.78936175196553,74.62097728532844,45.098039215686306,11.40276914288349,44.19247357835896,43.87384308743067
盈利15/30/60%+回撤3/6/10%,15/30/60,3/6/10,305.84034551313124,-60.153796605555684,0.5313374024480675,0.35820667721416427,67.74193548387096,31,34.90718236366881,60.153796605555684,2.523499170949635,90.68100358422937,43.5601562274842,12.011477238818605,41.12751037264099
盈利30/60/120%+回撤8/15/20%,30/60/120,8/15/20,422.94095823258687,-54.674111946017376,0.6137462874709041,0.47226559846388305,55.55555555555556,18,37.1826317560399,54.674111946017376,25.197826318280093,28.395061728395078,81.5732862629438,28.741173052466717,40.95953127431784
盈利15/30/60%+回撤5/10/15%,15/30/60,5/10/15,329.2832755424729,-66.31772413817585,0.5779954603484301,0.3382740048568127,69.56521739130434,23,33.62234389435347,66.31772413817585,7.062780840215874,100.0,0.8003637604516438,21.483454874632262,36.26247712509333
盈利35/70/150%+回撤10/18/25%,35/70/150,10/18/25,589.5113416855121,-65.97008105719418,0.6531549252744584,0.46604686007883467,58.82352941176471,17,42.47866480405538,65.97008105719418,57.4510424181511,45.098039215686306,3.2119991855451446,36.7414575205917,36.04346366974829
盈利30/50/100%+回撤8/15/20%,30/50/100,8/15/20,360.2867107481662,-54.67411194601739,0.5656300233018681,0.4318482682405699,55.55555555555556,18,36.438872960035454,54.67411194601739,13.066011875642857,28.395061728395078,81.5732862629437,18.973167296606285,35.97297651248642
盈利25/50/100%+回撤8/15/20%,25/50/100,8/15/20,360.2867107481662,-54.67411194601739,0.5656300233018681,0.4318482682405699,55.55555555555556,18,36.438872960035454,54.67411194601739,13.066011875642857,28.395061728395078,81.5732862629437,18.973167296606285,35.97297651248642
盈利30/60/120%+回撤7/12/18%,30/60/120,7/12/18,358.1446725370218,-54.67411194601739,0.566627849223129,0.43038450893212354,55.55555555555556,18,36.23346584417863,54.67411194601739,12.651246538095645,28.395061728395078,81.5732862629437,19.17573433938381,35.909798586655114
盈利30/50/100%+回撤7/12/18%,30/50/100,7/12/18,355.5959467064754,-54.67411194601739,0.5644888792986393,0.4286351421515877,55.55555555555556,18,36.20132565123899,54.67411194601739,12.15773380619293,28.395061728395078,81.5732862629437,18.741505479457622,35.699574631694205
盈利25/50/100%+回撤7/12/18%,25/50/100,7/12/18,355.5959467064754,-54.67411194601739,0.5644888792986393,0.4286351421515877,55.55555555555556,18,36.20132565123899,54.67411194601739,12.15773380619293,28.395061728395078,81.5732862629437,18.741505479457622,35.699574631694205
盈利40/80/200%+回撤7/12/18%,40/80/200,7/12/18,587.793992940918,-66.43309851055996,0.6435052587255348,0.46211734695647017,58.82352941176471,17,43.04531603775477,66.43309851055996,57.118510193454085,45.098039215686306,9.858214509911464e-14,34.78249416340161,34.76553814574976
