date,price,z_score,total_value,position,cash,borrowed,peak,dd
2020-01-02,6985.47021484375,0.9536409931043888,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-03,7344.88427734375,1.2024932834173223,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-04,7410.65673828125,1.2178611254654623,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-05,7411.3173828125,1.2149465594224045,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-06,7769.21923828125,1.4967905263834065,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-07,8163.6923828125,1.7459260659721396,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-08,8079.86279296875,1.6936415017850777,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-09,7879.0712890625,1.5273400946199336,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-10,8166.55419921875,1.7425341526120095,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-11,8037.53759765625,1.6848491862998232,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-12,8192.494140625,1.8008840817677167,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-13,8144.1943359375,1.7757681555803893,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-14,8827.7646484375,2.2880036082771733,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-15,8807.0107421875,2.289519035409539,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-16,8723.7861328125,2.2272133107984287,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-17,8929.0380859375,2.368716050410552,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-18,8942.80859375,2.38641527269814,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-19,8706.2451171875,2.234829412541088,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-20,8657.642578125,2.209664184184467,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-21,8745.89453125,2.2884745584725543,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-22,8680.8759765625,2.2397680344536415,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-23,8406.515625,2.0454939894490005,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-24,8445.4345703125,2.1162804916932876,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-25,8367.84765625,2.091944227076767,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-26,8596.830078125,2.29901927781867,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-27,8909.8193359375,2.5724839960872816,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-28,9358.58984375,2.912620821094454,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-29,9316.6298828125,2.939939304155869,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-30,9508.9931640625,3.096150956152358,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-01-31,9350.529296875,2.982202790031357,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-01,9392.875,3.000007332037775,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-02,9344.365234375,2.966858819049002,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-03,9293.521484375,2.9281033452342613,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-04,9180.962890625,2.8412332557663458,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-05,9613.423828125,3.2331111061533284,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-06,9729.8017578125,3.321174342535435,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-07,9795.943359375,3.357554658548063,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-08,9865.119140625,3.439850603747366,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-09,10116.673828125,3.624928764356005,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-10,9856.611328125,3.3814815123206112,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-11,10208.236328125,3.691596795856974,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-12,10326.0546875,3.743293478273777,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-13,10214.3798828125,3.62530496833837,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-14,10312.1162109375,3.7094093139005695,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-15,9889.4248046875,3.3396227937930116,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-16,9934.43359375,3.3693411610361346,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-17,9690.142578125,3.157902926136339,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-18,10141.99609375,3.5637994979962224,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-19,9633.38671875,3.122474720836766,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-20,9608.4755859375,3.1225043862506894,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-21,9686.44140625,3.231117068918644,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-22,9663.181640625,3.2369068549087836,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-23,9924.515625,3.529962658604765,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-24,9650.1748046875,3.3011649359335844,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-25,9341.705078125,3.080469642890486,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-26,8820.5224609375,2.6365457441842826,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-27,8784.494140625,2.6580205322453443,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-28,8672.455078125,2.6668190543451247,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-02-29,8599.5087890625,2.536105861893334,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-03-01,8562.4541015625,2.508003749307966,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-03-02,8869.669921875,2.852629381092081,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-03-03,8787.7861328125,2.738000696553624,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-03-04,8755.24609375,2.7509952783598246,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-03-05,9078.7626953125,3.048731336464108,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-03-06,9122.5458984375,3.152987775884291,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-03-07,8909.9541015625,2.9432579622446866,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-03-08,8108.1162109375,2.2034934029460014,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-03-09,7923.64453125,2.01548705498502,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-03-10,7909.7294921875,2.044894796138799,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-03-11,7911.43017578125,2.0947319145648446,10000.0,0.0,10000.0,0.0,10000.0,0.0
2020-03-12,4970.7880859375,-0.6528049787759944,10000.0,0.2011753433683943,9800.0,800.0,10000.0,0.0
2020-03-13,5563.70703125,0.0120642329397375,10119.105329947115,0.2011753433683943,9799.824657534247,800.0,10119.105329947115,0.0
2020-03-14,5200.3662109375,-0.4115919239618787,10045.834773195242,0.2011753433683943,9799.649315068495,800.0,10119.105329947115,-0.7240813724414136
2020-03-15,5392.31494140625,-0.2073265629907755,10084.274782490667,0.2011753433683943,9799.473972602742,800.0,10119.105329947115,-0.34420580002629253
2020-03-16,5014.47998046875,-0.4856276424981042,10008.088362021728,0.2011753433683943,9799.29863013699,800.0,10119.105329947115,-1.097102602508111
2020-03-17,5225.62939453125,-0.1216618637430366,10050.391075432035,0.2011753433683943,9799.123287671237,800.0,10119.105329947115,-0.6790546424269619
2020-03-18,5238.4384765625,-0.1371023769683243,10052.792604442153,0.2011753433683943,9798.947945205484,800.0,10119.105329947115,-0.6553220205022682
2020-03-19,6191.19287109375,0.5458358569975471,10244.28795444197,0.2011753433683943,9798.772602739731,800.0,10244.28795444197,0.0
2020-03-20,6198.7783203125,0.5275527358633231,10245.638617327404,0.2011753433683943,9798.597260273978,800.0,10245.638617327404,0.0
2020-03-21,6185.06640625,0.5289925433653677,10242.70477584189,0.2011753433683943,9798.421917808226,800.0,10245.638617327404,-0.028635027986953006
2020-03-22,5830.2548828125,0.2383867570048392,10171.150103317535,0.2011753433683943,9798.246575342473,800.0,10245.638617327404,-0.7270265601979535
2020-03-23,6416.31494140625,0.7887296645004621,10288.875594373882,0.2011753433683943,9798.07123287672,800.0,10288.875594373882,0.0
2020-03-24,6734.8037109375,1.0253947095292368,10352.772339477555,0.2011753433683943,9797.895890410968,800.0,10352.772339477555,0.0
2020-03-25,6681.06298828125,0.9577183473302524,10341.785688678567,0.2011753433683943,9797.720547945215,800.0,10352.772339477555,-0.10612278951690564
