date,type,price,z_score,reason,position,signals,pnl_pct
2014-12-25,BUY,319.00799560546875,-0.0404689843861131,低估买入30%,9.404153003457106,,
2014-12-26,BUY,327.92401123046875,0.062635012076254,正常偏低买入30%,18.552613918969527,,
2014-12-27,BUY,315.8630065917969,-0.0690658948920948,正常买入20%,24.88447285230984,,
2015-01-14,BUY,178.10299682617188,-1.3259495869613045,极度低估买入20%,36.113930164316756,,
2016-05-29,SELL,526.2329711914062,4.94125438594969,混合卖出15%(RSI超买(77.8)+RSI从超买回落),30.696840639669244,RSI超买(77.8)+RSI从超买回落,64.95917921826064
2016-05-31,SELL,531.385986328125,4.865506892300799,混合卖出20%(RSI超买(79.9)+RSI从超买回落),24.557472511735394,RSI超买(79.9)+RSI从超买回落,66.57450397742177
2016-06-07,SELL,576.5969848632812,5.1946129314546745,混合卖出25%(RSI超买(90.5)+RSI从超买回落),18.418104383801545,RSI超买(90.5)+RSI从超买回落,80.74687556621126
2016-08-02,BUY,547.4650268554688,1.3991204305888352,正常买入20%,22.071305779126476,,
2016-11-24,SELL,740.2890014648438,4.363387909473526,混合卖出15%(MACD死叉+MACD柱转负),18.760609912257504,MACD死叉+MACD柱转负,132.05970121839573
2016-12-09,SELL,772.7940063476562,5.311315174225025,混合卖出20%(MACD死叉+MACD柱转负),15.008487929806003,MACD死叉+MACD柱转负,142.24910252826538
2016-12-24,SELL,898.822021484375,6.441557151281346,混合卖出25%(RSI超买(83.1)+RSI从超买回落),11.256365947354503,RSI超买(83.1)+RSI从超买回落,181.75532709718905
2017-02-04,SELL,1042.9000244140625,4.235121972308601,混合卖出15%(RSI超买(82.0)+RSI从超买回落),9.567911055251328,RSI超买(82.0)+RSI从超买回落,226.91971322996648
2017-02-05,SELL,1027.3399658203125,4.038901427409421,混合卖出20%(RSI超买(75.4)+RSI从超买回落),7.654328844201062,RSI超买(75.4)+RSI从超买回落,222.0420741713537
2017-02-08,SELL,1063.0699462890625,4.11940979764345,混合卖出25%(RSI超买(91.0)+RSI从超买回落),5.740746633150797,RSI超买(91.0)+RSI从超买回落,233.2424142759757
2017-02-28,SELL,1179.969970703125,4.006052004683495,混合卖出15%(RSI超买(85.3)+RSI从超买回落),4.879634638178178,RSI超买(85.3)+RSI从超买回落,269.8872714658995
2017-03-04,SELL,1255.1500244140625,4.149146443673085,混合卖出20%(RSI超买(82.0)+RSI从超买回落),3.9037077105425424,RSI超买(82.0)+RSI从超买回落,293.4540957294255
2017-03-06,SELL,1272.8299560546875,4.085329332667576,混合卖出25%(RSI超买(83.0)+RSI从超买回落),2.9277807829069067,RSI超买(83.0)+RSI从超买回落,298.99625513739545
2017-05-12,SELL,1724.239990234375,4.378523020715053,混合卖出15%(RSI超买(81.1)+RSI从超买回落),2.488613665470871,RSI超买(81.1)+RSI从超买回落,440.50055609478164
2017-05-14,SELL,1808.9100341796875,4.541795560133569,混合卖出20%(RSI超买(82.5)+RSI从超买回落),1.9908909323766966,RSI超买(82.5)+RSI从超买回落,467.04222436382014
2017-05-15,SELL,1738.4300537109375,4.242785543038992,混合卖出25%(RSI超买(72.4)+RSI从超买回落),1.4931681992825223,RSI超买(72.4)+RSI从超买回落,444.94874036352695
2017-05-28,SELL,2155.800048828125,4.163323626459687,混合卖出15%(MACD死叉+MACD柱转负),1.269192969390144,MACD死叉+MACD柱转负,575.7824501346662
2017-06-11,SELL,2958.110107421875,4.1817779097898065,混合卖出15%(RSI超买(82.6)+RSI从超买回落),1.0788140239816224,RSI超买(82.6)+RSI从超买回落,827.2840017089414
2017-07-14,BUY,2233.340087890625,1.9793632588005512,正常买入20%,1.974333703605959,,
2017-09-14,BUY,3154.949951171875,1.4624124376999403,正常买入20%,2.60825818131665,,
2017-12-08,SELL,16569.400390625,4.856986436331982,混合卖出15%(RSI超买(86.7)+RSI从超买回落),2.2170194541191526,RSI超买(86.7)+RSI从超买回落,5094.039214965981
2017-12-09,SELL,15178.2001953125,4.196141968489094,混合卖出20%(RSI超买(76.2)+RSI从超买回落),1.773615563295322,RSI超买(76.2)+RSI从超买回落,4657.937231794042
2017-12-10,SELL,15455.400390625,4.171730689190457,混合卖出25%(RSI超买(75.7)+RSI从超买回落),1.3302116724714916,RSI超买(75.7)+RSI从超买回落,4744.8316667709405
2017-12-17,SELL,19140.80078125,4.049361453350551,混合卖出15%(RSI超买(74.4)+RSI从超买回落),1.130679921600768,RSI超买(74.4)+RSI从超买回落,5900.100638518877
2017-12-30,BUY,12952.2001953125,1.8374209696664552,正常买入20%,1.2850938412314894,,
2018-01-30,BUY,10106.2998046875,0.9785771792230016,正常偏低买入30%,1.5819383894813386,,
2018-11-19,BUY,4871.490234375,-0.1063356255568605,低估买入30%,2.197766371405825,,
2018-11-24,BUY,3880.760009765625,-1.2543544789850332,极度低估买入20%,2.713129340248824,,
2019-06-04,BUY,7707.77099609375,1.9771975727413456,正常买入20%,2.972607729138892,,
2019-07-14,BUY,10256.05859375,1.8671860352890568,正常买入20%,3.167614415354471,,
2019-09-26,BUY,8118.9677734375,0.9253597349501138,正常偏低买入30%,3.5371195154750774,,
2020-03-12,BUY,4970.7880859375,-0.6528049787759944,低估买入30%,4.14064554558026,,
2020-03-13,BUY,5563.70703125,0.0120642329397375,正常偏低买入30%,4.679854382988435,,
2020-03-14,BUY,5200.3662109375,-0.4115919239618787,正常买入20%,5.0644426829034614,,
2020-08-06,SELL,11779.7734375,4.10935467317871,混合卖出15%(RSI超买(77.9)+RSI从超买回落),4.304776280467943,RSI超买(77.9)+RSI从超买回落,3592.626391743662
2020-10-22,SELL,12965.8916015625,4.650807064843854,混合卖出15%(RSI超买(88.6)+RSI从超买回落),3.6590598383977513,RSI超买(88.6)+RSI从超买回落,3964.4409482444416
2020-10-23,SELL,12931.5390625,4.594845567912048,混合卖出20%(RSI超买(86.7)+RSI从超买回落),2.927247870718201,RSI超买(86.7)+RSI从超买回落,3953.672397131075
2020-10-24,SELL,13108.0625,4.684076281399533,混合卖出25%(RSI超买(86.4)+RSI从超买回落),2.1954359030386508,RSI超买(86.4)+RSI从超买回落,4009.007510962615
2020-12-20,SELL,23477.294921875,4.297573692729259,混合卖出15%(RSI超买(76.0)+RSI从超买回落),1.8661205175828532,RSI超买(76.0)+RSI从超买回落,7259.469118419967
2020-12-21,SELL,22803.08203125,4.04024349812753,混合卖出20%(RSI超买(71.3)+RSI从超买回落),1.4928964140662826,RSI超买(71.3)+RSI从超买回落,7048.122412408614
2020-12-27,SELL,26272.294921875,4.268742810880652,混合卖出15%(RSI超买(83.4)+RSI从超买回落),1.2689619519563402,RSI超买(83.4)+RSI从超买回落,8135.622706575388
2020-12-30,SELL,28840.953125,4.375981636201718,混合卖出20%(RSI超买(84.0)+RSI从超买回落),1.0151695615650722,RSI超买(84.0)+RSI从超买回落,8940.82453176781
2020-12-31,SELL,29001.720703125,4.277164798795291,混合卖出25%(RSI超买(81.8)+RSI从超买回落),0.7613771711738042,RSI超买(81.8)+RSI从超买回落,8991.220628523903
2021-04-22,BUY,51762.2734375,1.8849059301727344,正常买入20%,0.8000153504341276,,
2021-05-23,BUY,34770.58203125,0.9702141271964196,正常偏低买入30%,0.8862951831186583,,
