date,type,price,z_score,reason,position,signals,pnl_pct
2020-01-02,BUY,6985.47021484375,0.9536409931043888,正常偏低买入30%,0.42946285757903035,,
2020-01-03,BUY,7344.88427734375,1.2024932834173223,正常买入20%,0.7017612253244909,,
2020-03-12,BUY,4970.7880859375,-0.6528049787759944,低估买入30%,1.3052872554296737,,
2020-03-13,BUY,5563.70703125,0.0120642329397375,正常买入20%,1.6647598137017903,,
2020-08-06,SELL,11779.7734375,4.10935467317871,混合卖出15%(RSI超买(77.9)+RSI从超买回落),1.4150458416465217,RSI超买(77.9)+RSI从超买回落,68.63250540341024
2020-10-22,SELL,12965.8916015625,4.650807064843854,混合卖出15%(RSI超买(88.6)+RSI从超买回落),1.2027889653995434,RSI超买(88.6)+RSI从超买回落,85.61229527556607
2020-10-23,SELL,12931.5390625,4.594845567912048,混合卖出20%(RSI超买(86.7)+RSI从超买回落),0.9622311723196347,RSI超买(86.7)+RSI从超买回落,85.12052395587017
2020-10-24,SELL,13108.0625,4.684076281399533,混合卖出25%(RSI超买(86.4)+RSI从超买回落),0.7216733792397261,RSI超买(86.4)+RSI从超买回落,87.64753261915095
2020-12-20,SELL,23477.294921875,4.297573692729259,混合卖出15%(RSI超买(76.0)+RSI从超买回落),0.6134223723537672,RSI超买(76.0)+RSI从超买回落,236.0875388458032
2020-12-21,SELL,22803.08203125,4.04024349812753,混合卖出20%(RSI超买(71.3)+RSI从超买回落),0.49073789788301375,RSI超买(71.3)+RSI从超买回落,226.43589235832215
2020-12-27,SELL,26272.294921875,4.268742810880652,混合卖出15%(RSI超买(83.4)+RSI从超买回落),0.4171272132005617,RSI超买(83.4)+RSI从超买回落,276.09916174358284
2020-12-30,SELL,28840.953125,4.375981636201718,混合卖出20%(RSI超买(84.0)+RSI从超买回落),0.33370177056044936,RSI超买(84.0)+RSI从超买回落,312.87060481217884
