date,price,total_value,position,position_levels,peak,dd
2020-01-02,9995.01,10000.0,0.0,0,10000.0,0.0
2020-01-03,10914.2,10000.0,0.0,0,10000.0,0.0
2020-01-04,11922.73,10000.0,0.0,0,10000.0,0.0
2020-01-05,10298.66,10000.0,0.0,0,10000.0,0.0
2020-01-06,10431.67,10000.0,0.0,0,10000.0,0.0
2020-01-07,12377.88,10000.0,0.0,0,10000.0,0.0
2020-01-08,11698.79,10000.0,0.0,0,10000.0,0.0
2020-01-09,10594.38,10000.0,0.0,0,10000.0,0.0
2020-01-10,11738.69,10000.0,0.0,0,10000.0,0.0
2020-01-11,10864.74,10000.0,0.0,0,10000.0,0.0
2020-01-12,10994.19,10000.0,0.0,0,10000.0,0.0
2020-01-13,11833.34,10000.0,0.0,0,10000.0,0.0
2020-01-14,9809.22,10000.0,0.0,0,10000.0,0.0
2020-01-15,10128.36,10000.0,0.0,0,10000.0,0.0
2020-01-16,11421.38,10000.0,0.0,0,10000.0,0.0
2020-01-17,11100.83,10000.0,0.0,0,10000.0,0.0
2020-01-18,12557.46,10000.0,0.0,0,10000.0,0.0
2020-01-19,11464.29,10000.0,0.0,0,10000.0,0.0
2020-01-20,11088.62,10000.0,0.0,0,10000.0,0.0
2020-01-21,14094.69,10000.0,0.0,0,10000.0,0.0
2020-01-22,12530.84,10000.0,0.0,0,10000.0,0.0
2020-01-23,12951.16,10000.0,0.0,0,10000.0,0.0
2020-01-24,11585.33,10000.0,0.0,0,10000.0,0.0
2020-01-25,12591.53,10000.0,0.0,0,10000.0,0.0
2020-01-26,13372.05,10000.0,0.0,0,10000.0,0.0
2020-01-27,12234.69,10000.0,0.0,0,10000.0,0.0
2020-01-28,13885.27,10000.0,0.0,0,10000.0,0.0
2020-01-29,13032.13,10000.0,0.0,0,10000.0,0.0
2020-01-30,13463.55,10000.0,0.0,0,10000.0,0.0
2020-01-31,13275.28,10000.0,0.0,0,10000.0,0.0
2020-02-01,15850.25,10000.0,0.0,0,10000.0,0.0
2020-02-02,14104.68,10000.0,0.0,0,10000.0,0.0
2020-02-03,13179.88,10000.0,0.0,0,10000.0,0.0
2020-02-04,15178.73,10000.0,0.0,0,10000.0,0.0
2020-02-05,13253.09,10000.0,0.0,0,10000.0,0.0
2020-02-06,14799.7,10000.0,0.0,0,10000.0,0.0
2020-02-07,12747.2,10000.0,0.0,0,10000.0,0.0
2020-02-08,13493.82,10000.0,0.0,0,10000.0,0.0
2020-02-09,15133.1,10000.0,0.0,0,10000.0,0.0
2020-02-10,15788.02,10000.0,0.0,0,10000.0,0.0
2020-02-11,15333.3,10000.0,0.0,0,10000.0,0.0
2020-02-12,15157.7,10000.0,0.0,0,10000.0,0.0
2020-02-13,15082.7,10000.0,0.0,0,10000.0,0.0
2020-02-14,14014.75,10000.0,0.0,0,10000.0,0.0
2020-02-15,14881.9,10000.0,0.0,0,10000.0,0.0
2020-02-16,15248.57,10000.0,0.0,0,10000.0,0.0
2020-02-17,16872.78,10000.0,0.0,0,10000.0,0.0
2020-02-18,16264.69,10000.0,0.0,0,10000.0,0.0
2020-02-19,14262.4,10000.0,0.0,0,10000.0,0.0
2020-02-20,16452.83,10000.0,0.0,0,10000.0,0.0
2020-02-21,15845.92,10000.0,0.0,0,10000.0,0.0
2020-02-22,15655.26,10000.0,0.0,0,10000.0,0.0
2020-02-23,17043.95,10000.0,0.0,0,10000.0,0.0
2020-02-24,17562.28,10000.0,0.0,0,10000.0,0.0
2020-02-25,17560.47,10000.0,0.0,0,10000.0,0.0
2020-02-26,15886.78,10000.0,0.0,0,10000.0,0.0
2020-02-27,16512.47,10000.0,0.0,0,10000.0,0.0
2020-02-28,17247.53,10000.0,0.0,0,10000.0,0.0
2020-02-29,17985.27,10000.0,0.0,0,10000.0,0.0
2020-03-01,16622.88,10000.0,0.0,0,10000.0,0.0
2020-03-02,17007.6,10000.0,0.0,0,10000.0,0.0
2020-03-03,16176.99,10000.0,0.0,0,10000.0,0.0
2020-03-04,16176.06,10000.0,0.0,0,10000.0,0.0
2020-03-05,18272.59,10000.0,0.0,0,10000.0,0.0
2020-03-06,18902.97,10000.0,0.0,0,10000.0,0.0
2020-03-07,17560.25,10000.0,0.0,0,10000.0,0.0
2020-03-08,18720.18,10000.0,0.0,0,10000.0,0.0
2020-03-09,18161.53,10000.0,0.0,0,10000.0,0.0
2020-03-10,17236.89,10000.0,0.0,0,10000.0,0.0
2020-03-11,18324.39,10000.0,0.0,0,10000.0,0.0
