factor,ic_5d,p_5d,ic_20d,p_20d,ic_60d,p_60d,mean,std
Rsi Reversal,-0.0017201904219923422,0.9417321368711078,-0.0693299532712108,0.0033120845033876396,-0.09921997014342131,3.1611643008486774e-05,-0.6318581672520162,0.39916996676312755
Momentum,-0.004614027270992416,0.8448637224576886,0.11955781324305072,4.035162131940944e-07,0.11451807590415285,1.6064198769797087e-06,-1.3770208057366282e-17,0.9999999999999999
Volatility,-0.034009183864844264,0.14910401338637705,-0.01187030510287385,0.6161469746580271,0.03826855070718253,0.10993218077284513,-1.258990450959203e-16,1.0
Wt Oversold,-0.0013466231224256071,0.9544713368127385,-0.08857389168180346,0.00017901472982299746,-0.09700807883945374,4.928119860574567e-05,0.06134882193430345,0.17568277834706242
Mean Reversion,0.035548822523972144,0.15241759994277468,0.04553283183399813,0.06802831986220607,0.06390575672207136,0.011396513168955085,0.0,1.0
Mvrv,-0.09312171360678072,6.899627590355932e-05,-0.22655659199591066,1.874997726340352e-22,-0.4465130139306723,2.8370088998998877e-87,-0.07613237761171267,0.14434578087590721
Whale,-0.04736117619364435,0.04330067253495951,-0.1053274862246177,7.274630512476494e-06,-0.1721100298737697,3.2890835099697157e-13,7.782505320483025e-18,1.0
Lth,-0.03408135916084808,0.1460063293437586,-0.003840285226822151,0.8704488056130808,0.08448157639953521,0.00037930610030797855,2.3347515961449075e-17,1.0
Trend,0.05332665218190342,0.023861773317628898,0.07850301117089589,0.0009169703718420259,0.012772708948026632,0.5944276781510858,0.7958940713934172,0.7060712223184469
Ma Cross,-0.05305256404426544,0.0326387086301445,-0.10735812207920702,1.6117842071683926e-05,-0.10336821051568196,4.1388715972990114e-05,0.18160215494573737,0.7313560654372273
