entry_date,exit_date,type,position_size,entry_price,exit_price,pnl,pnl_pct,reason
2021-04-17,2021-04-27,SHORT,中等做空,60056.07,55073.48,547.57319285128,8.296563528049699,WT金叉
2021-09-07,2021-09-30,SHORT,轻度做空,46856.31,43829.34,224.85705590338776,6.460111775767237,WT金叉
2021-11-12,2021-11-29,SHORT,轻度做空,64156.3,57839.55,350.0112552525776,9.84587639873247,WT金叉
2022-05-04,2022-05-05,LONG,轻度买入,39680.21,36546.86,-289.8337909142053,-7.89650558805006,动量严重转负
2022-08-16,2022-09-02,SHORT,中等做空,23858.64,19957.44,1169.0403006546164,16.35130921125429,WT金叉
2022-11-01,2022-11-23,SHORT,轻度做空,20480.27,16590.98,752.1240476379583,18.990423466096885,WT金叉
2023-06-16,2023-06-29,LONG,强买入,26330.59,30447.17,1894.2540536629003,15.634211007045412,ADX>20且WT死叉
2023-10-09,2023-10-23,SHORT,轻度做空,27598.77,33084.08,-960.7369517777474,-19.875197336692906,止损-19.9%
2023-11-13,2023-12-04,SHORT,中等做空,36482.51,41984.41,-1362.352083869329,-15.08092507889397,止损-15.1%
2023-12-24,2024-01-26,SHORT,轻度做空,43023.12,41816.55,114.06417711046568,2.804468853026,WT金叉
2024-05-24,2024-06-30,SHORT,轻度做空,68548.33,62685.88,351.06030391052013,8.552287123552103,WT金叉
2024-11-01,2024-11-08,SHORT,中等做空,69473.41,76562.31,-861.3443399589537,-10.203759970901089,止损-10.2%
2024-12-09,2025-01-02,SHORT,轻度做空,97338.34,96900.96,17.68816040526728,0.4493399003927847,WT金叉
2025-03-02,2025-03-03,LONG,强买入,94275.76,86158.95,-977.116148695218,-8.609646848776396,动量严重转负
2025-05-13,2025-06-24,SHORT,中等做空,104136.59,106133.25,-138.8107780875643,-1.917347207163211,WT金叉
2025-07-16,2025-09-02,SHORT,中等做空,118700.37,111245.94,448.9044870849573,6.280039396675844,WT金叉
