date,open,high,low,close,price,volume,wt1,wt2
2021-05-21,40597.4,42252.07,33552.8,37350.39,37350.39,4573692788.95,-34.386365794972214,-25.755980183481338
2021-05-22,37350.39,38841.92,35287.71,37491.5,37491.5,2808008188.27,-41.70656877575975,-32.02464419259931
2021-05-23,37491.5,38304.55,31157.18,34716.84,34716.84,4494413873.1,-47.773322313007405,-37.89449487318635
2021-05-24,34716.84,39945.35,34467.32,38837.76,38837.76,3981461441.04,-52.430779042448705,-44.07425898154702
2021-05-25,38837.76,39842.9,36509.09,38387.36,38387.36,2529569055.97,-52.1468628189942,-48.51438323755251
2021-05-26,38387.36,40854.81,37855.81,39295.08,39295.08,2607759779.42,-53.79827520373994,-51.537309844547565
2021-05-27,39295.08,40408.95,37211.84,38538.84,38538.84,1804036815.09,-56.758364157143355,-53.78357030558155
2021-05-28,38538.84,38879.6,34733.76,35680.92,35680.92,3104364367.82,-61.8528557050504,-56.13908947123197
2021-05-29,35680.92,37307.1,33666.06,34611.58,34611.58,2127790128.94,-69.18033820164058,-60.39745831689358
2021-05-30,34611.58,36481.62,33400.65,35662.59,35662.59,1325408340.1,-74.49845465558893,-65.57250317985581
2021-05-31,35662.59,37512.8,34202.86,37290.83,37290.83,1821662523.97,-75.4955994395902,-70.25681200046753
2021-06-01,37290.83,37910.19,35733.52,36683.51,36683.51,1626268789.21,-74.79092103776134,-73.49132833364527
2021-06-02,36683.51,38225.18,35935.34,37576.98,37576.98,1494571249.19,-67.7357945194551,-73.13019241309888
2021-06-03,37576.98,39482.46,37199.92,39229.66,39229.66,1586641442.02,-58.511557245344584,-69.13346806053781
2021-06-04,39229.66,39273.49,35617.03,36861.5,36861.5,1837944242.33,-54.44596007478923,-63.87105821933756
2021-06-05,36861.5,37911.76,34846.16,35538.4,35538.4,1444088532.56,-51.80510052308246,-58.12460309066784
2021-06-06,35538.4,36453.81,35264.34,35798.57,35798.57,986275148.28,-49.64308871831912,-53.60142664038385
2021-06-07,35798.57,36790.39,33367.12,33582.86,33582.86,1850311020.63,-48.59467236485544,-51.122205420261565
2021-06-08,33582.86,34061.09,31034.35,33409.38,33409.38,2890313261.68,-49.73109266076941,-49.943488566756606
2021-06-09,33409.38,37528.42,32435.18,37391.58,37391.58,3249553573.38,-43.758538662791885,-47.93184810168397
2021-06-10,37391.58,38387.2,35821.05,36680.78,36680.78,2338112083.52,-38.1281234621246,-45.053106787635336
2021-06-11,36680.78,37665.85,35981.84,37339.98,37339.98,1596038876.7,-32.62392442736182,-41.06041980326193
2021-06-12,37339.98,37445.32,34655.21,35541.78,35541.78,1450138289.51,-30.272828536035302,-36.1958537720784
2021-07-08,33880.79,33934.31,32108.68,32874.01,32874.01,1573967671.27,-34.91142107600246,-27.592423542274553
2021-07-09,32874.01,34076.49,32274.31,33804.2,33804.2,853165387.13,-34.68885566256554,-31.03569987526363
2021-07-10,33804.2,34253.5,33030.16,33515.13,33515.13,651899496.99,-32.42066716121753,-32.635040270664554
2021-07-15,32820.5,33188.54,31133.75,31867.46,31867.46,1073939852.55,-30.232770749216073,-26.2264510392339
2021-07-16,31867.46,32256.94,31046.14,31401.76,31401.76,812765644.4,-32.45209108756836,-28.27744320098111
