strategy,return,max_drawdown,trades,win_rate
wt1<-30 + 动量>-0.5,-35.37724172030911,-44.24242436061326,12,41.66666666666667
wt1<-30 + 动量>0,0.0,0.0,0,0.0
wt1<-30 + 价格>MA200,-3.9250787841255077,-42.04476864077781,6,33.33333333333333
wt1<-30 + 综合过滤,-10.02266336720466,-10.02266336720466,1,0.0
wt1<-40 + 动量>-0.5,-37.696155758181234,-37.696155758181234,5,20.0
wt1<-40 + 动量>0,0.0,0.0,0,0.0
wt1<-40 + 价格>MA200,-12.596150751373205,-34.02231862717757,4,25.0
wt1<-40 + 综合过滤,0.0,0.0,0,0.0
wt1<-50 + 动量>-0.5,-0.837332639247361,-14.355577356568858,2,50.0
wt1<-50 + 动量>0,0.0,0.0,0,0.0
wt1<-50 + 价格>MA200,-12.69959079770637,-32.76792570059534,4,25.0
wt1<-50 + 综合过滤,0.0,0.0,0,0.0
wt1<-60 + 动量>-0.5,-13.660854603558729,-13.660854603558729,1,0.0
wt1<-60 + 动量>0,0.0,0.0,0,0.0
wt1<-60 + 价格>MA200,-13.660854603558729,-13.660854603558729,1,0.0
wt1<-60 + 综合过滤,0.0,0.0,0,0.0
