date,lth_net_change_30d
2020-11-01,-37974.68354430387
2020-11-02,-29113.924050632893
2020-11-03,-6329.1139240506745
2020-11-04,-8227.848101265816
2020-11-05,-7594.93670886074
2020-11-06,67721.51898734175
2020-11-07,68354.43037974683
2020-11-08,-270253.164556962
2020-11-09,-314240.50632911385
2020-11-10,-358227.8481012657
2020-11-11,-358227.8481012657
2020-11-12,67721.51898734175
2020-11-13,68354.43037974683
2020-11-14,67721.51898734175
2020-11-15,68354.43037974683
2020-11-16,69620.25316455698
2020-11-17,68354.43037974683
2020-11-18,-153797.46835443046
2020-11-19,-149367.08860759504
2020-11-20,-140506.32911392412
2020-11-21,-63291.13924050637
2020-11-22,13924.050632911414
2020-11-23,17088.607594936708
2020-11-24,45253.16455696203
2020-11-25,73417.72151898735
2020-11-26,74050.63291139243
2020-11-27,71518.98734177212
2020-11-28,74050.63291139243
2020-11-29,75316.45569620248
2020-11-30,118354.4303797468
2020-12-01,118987.34177215188
2020-12-02,108227.84810126584
2020-12-03,104430.37974683548
2020-12-04,104430.37974683548
2020-12-05,103164.55696202532
2020-12-06,159493.67088607597
2020-12-07,162025.3164556962
2020-12-08,162025.3164556962
2020-12-09,68987.3417721519
2020-12-10,-122151.89873417716
2020-12-11,163924.0506329114
2020-12-12,163924.0506329114
2020-12-13,165189.87341772148
2020-12-14,168354.43037974686
2020-12-15,168987.34177215194
2020-12-16,168987.34177215194
2020-12-17,166455.69620253163
2020-12-18,68354.43037974683
2020-12-19,-121518.98734177218
2020-12-20,137341.77215189874
2020-12-21,143037.97468354434
2020-12-22,139873.41772151896
2020-12-23,184177.21518987344
2020-12-24,191772.15189873416
2020-12-25,201265.82278481012
2020-12-26,258860.75949367092
2020-12-27,256962.0253164557
2020-12-28,266455.6962025317
2020-12-29,275949.36708860757
2020-12-30,274683.5443037975
2020-12-31,251898.73417721517
2021-01-01,248734.17721518988
2021-01-02,249367.08860759495
2021-01-03,251265.8227848101
2021-01-04,276582.2784810126
2021-01-05,279113.924050633
2021-01-06,253164.55696202532
2021-01-07,215822.7848101266
2021-01-08,256962.0253164557
2021-01-09,258227.84810126584
2021-01-10,259493.6708860759
2021-01-11,259493.6708860759
2021-01-12,259493.6708860759
2021-01-13,256329.11392405065
2021-01-14,263607.59493670886
2021-01-15,270886.07594936714
2021-01-16,266772.1518987342
2021-01-17,262658.2278481013
2021-01-18,301265.8227848101
2021-01-19,320253.16455696203
2021-01-20,316455.69620253163
2021-01-21,356962.02531645575
2021-01-22,397468.3544303798
2021-01-23,499367.08860759495
2021-01-24,570000.0
2021-01-25,570000.0
2021-01-26,599367.0886075948
2021-01-27,261392.4050632911
2021-01-28,262025.3164556962
2021-01-29,570000.0
2021-01-30,570000.0
2021-01-31,597468.3544303797
2021-02-01,551265.8227848101
2021-02-02,505063.2911392405
2021-02-03,503797.46835443034
2021-02-04,388924.0506329113
2021-02-05,274050.6329113924
2021-02-06,266455.6962025317
2021-02-07,255696.2025316455
2021-02-08,87974.68354430376
2021-02-09,78481.01265822788
2021-02-10,44303.79746835447
2021-02-11,-41772.15189873415
2021-02-12,-90506.32911392406
2021-02-13,-91139.24050632904
2021-02-14,-89240.50632911391
2021-02-15,-344303.79746835446
2021-02-16,-344936.70886075945
2021-02-17,-346202.53164556954
2021-02-18,-358860.75949367095
2021-02-19,-355063.29113924055
2021-02-20,-335443.0379746836
2021-02-21,-315822.7848101267
2021-02-22,-315189.8734177215
2021-02-23,-313291.13924050634
2021-02-24,-313291.13924050634
2021-02-25,-214556.9620253165
2021-02-26,-115822.78481012658
2021-02-27,-117088.60759493674
2021-02-28,-117721.51898734173
2021-03-01,-116455.69620253156
2021-03-02,-106962.02531645568
2021-03-03,-105063.29113924057
2021-03-04,-74683.54430379742
2021-03-05,-74683.54430379742
2021-03-06,-57594.9367088608
2021-03-07,4746.835443037935
2021-03-08,67088.60759493666
2021-03-09,65822.78481012661
2021-03-10,120253.16455696205
2021-03-11,124683.54430379748
2021-03-12,120886.07594936714
2021-03-13,122784.81012658223
2021-03-14,125949.36708860764
2021-03-15,55696.20253164557
2021-03-16,38607.59493670886
2021-03-17,29113.924050632893
2021-03-18,28481.012658227824
2021-03-19,68354.43037974683
2021-03-20,68354.43037974683
2021-03-21,44936.708860759536
2021-03-22,45569.620253164525
2021-03-23,43037.97468354431
2021-03-24,43037.97468354431
2021-03-25,41139.24050632908
2021-03-26,7278.4810126582015
2021-03-27,-26582.278481012676
2021-03-28,-27215.189873417745
2021-03-29,-108227.84810126584
2021-03-30,-109493.670886076
2021-03-31,67721.51898734175
2021-04-01,68354.43037974683
2021-04-02,68987.3417721519
2021-04-03,-123417.72151898732
2021-04-04,-162658.22784810135
2021-04-05,-164556.9620253165
2021-04-06,-153164.5569620253
2021-04-07,-144936.70886075957
2021-04-08,-22784.810126582302
2021-04-09,99367.08860759495
2021-04-10,103164.55696202532
2021-04-11,105063.29113924046
2021-04-12,141139.2405063291
2021-04-13,140506.32911392403
2021-04-14,140506.32911392403
2021-04-15,191772.15189873416
2021-04-16,208227.8481012658
2021-04-17,207594.9367088608
2021-04-18,215506.32911392403
2021-04-19,214556.9620253165
2021-04-20,213607.5949367089
2021-04-21,214873.41772151896
2021-04-22,224683.54430379745
2021-04-23,245569.62025316455
2021-04-24,266455.6962025317
2021-04-25,226265.82278481015
2021-04-26,300000.0
2021-04-27,300000.0
2021-04-28,300000.0
2021-04-29,300000.0
2021-04-30,226265.82278481015
2021-05-01,164873.41772151898
2021-05-02,-491139.24050632934
2021-05-03,69620.25316455698
2021-05-04,-488607.5949367086
2021-05-05,54746.83544303803
2021-05-06,261598.10126582277
2021-05-07,300000.0
2021-05-08,300000.0
2021-05-09,232911.3924050633
2021-05-10,259493.6708860759
