date,lth_net_change_30d
2020-10-10,-28865.809680820646
2020-10-11,-18184.239458229615
2020-10-12,-16181.322142140634
2020-10-13,-17633.838338096808
2020-10-14,-26492.977178086836
2020-10-15,-8194.904885881266
2020-10-16,-8838.306301661876
2020-10-17,-24444.456245949114
2020-10-18,5874.913604965738
2020-10-19,-17744.309315468385
2020-10-20,-17197.5258241552
2020-10-21,-12208.528477090043
2020-10-22,-10677.964567573055
2020-10-23,-24119.90583456785
2020-10-24,-28974.196096089716
2020-10-25,-18733.851794569055
2020-10-26,-9869.39916758637
2020-10-27,6438.170442074121
2020-10-28,-25979.94639761537
2020-10-29,-23787.92176026426
2020-10-30,-9166.939716904391
2020-10-31,-24605.04500313084
2020-11-01,-12744.265080713703
2020-11-02,-9770.603228547148
2020-11-03,-2124.0441801189604
2020-11-04,-2761.2574341546283
2020-11-05,-2548.8530161427293
2020-11-06,23820.124666073018
2020-11-07,24042.742653606412
2020-11-08,-90696.686491079
2020-11-09,24042.742653606412
2020-11-10,-120220.90059473236
2020-11-11,-120220.90059473236
2020-11-12,23820.124666073018
2020-11-13,24042.742653606412
2020-11-14,23820.124666073018
2020-11-15,24042.742653606412
2020-11-16,24487.978628673205
2020-11-17,24042.742653606412
2020-11-18,-51614.273576890424
2020-11-19,-50127.44265080717
2020-11-20,-47153.78079864063
2020-11-21,-40781.648258283785
2020-11-22,4897.595725734647
2020-11-23,6010.685663401603
2020-11-24,24042.742653606412
2020-11-25,25823.68655387356
2020-11-26,26046.304541406957
2020-11-27,25155.832591273367
2020-11-28,26046.304541406957
2020-11-29,26491.540516473717
2020-11-30,41629.56366874443
2020-12-01,41852.181656277826
2020-12-02,38067.67586821016
2020-12-03,36731.96794300981
2020-12-04,36731.96794300981
2020-12-05,36286.731967943015
2020-12-06,56099.73285841497
2020-12-07,56990.20480854853
2020-12-08,56990.20480854853
2020-12-09,24265.36064113981
2020-12-10,-40994.05267629565
2020-12-11,57658.05877114872
2020-12-12,57658.05877114872
2020-12-13,58103.29474621549
2020-12-14,59216.38468388247
2020-12-15,59439.00267141587
2020-12-16,59439.00267141587
2020-12-17,58548.53072128228
2020-12-18,24042.742653606412
2020-12-19,-40781.648258283785
2020-12-20,48308.10329474622
2020-12-21,50311.66518254676
2020-12-22,49198.57524487978
2020-12-23,64781.83437221728
2020-12-24,67453.250222618
2020-12-25,70792.52003561889
2020-12-26,91050.75690115764
2020-12-27,90382.90293855744
2020-12-28,24487.978628673205
2020-12-29,97061.44256455924
2020-12-30,96616.20658949245
2020-12-31,88601.9590382903
2021-01-01,85944.33399602385
2021-01-02,86163.02186878727
2021-01-03,86819.08548707751
2021-01-04,95566.6003976143
2021-01-05,96441.351888668
2021-01-06,87475.14910536779
2021-01-07,74572.56461232605
2021-01-08,88787.2763419483
2021-01-09,89224.65208747514
2021-01-10,89662.02783300198
2021-01-11,89880.7157057654
2021-01-12,89662.02783300198
2021-01-13,88568.58846918486
2021-01-14,89880.7157057654
2021-01-15,93598.40954274354
2021-01-16,90318.09145129226
2021-01-17,90755.46719681911
2021-01-18,104095.42743538765
2021-01-19,110656.06361829025
2021-01-20,109343.93638170975
2021-01-21,90318.09145129226
2021-01-22,137335.98409542744
2021-01-23,90536.77932405568
2021-01-24,207753.4791252485
2021-01-25,208190.85487077534
2021-01-26,207097.4155069582
2021-01-27,90318.09145129226
2021-01-28,90536.77932405568
2021-01-29,218031.80914512923
2021-01-30,220000.0
2021-01-31,206441.35188866797
2021-02-01,190477.13717693833
2021-02-02,174512.9224652087
2021-02-03,174075.54671968188
2021-02-04,-40061.68595901229
2021-02-05,94691.84890656063
2021-02-06,92067.59443339959
2021-02-07,88349.90059642144
2021-02-08,30397.614314115293
2021-02-09,27117.296222664027
2021-02-10,15308.151093439374
2021-02-11,-13771.204548410458
2021-02-12,-29837.609854889357
2021-02-13,-30046.264469259186
2021-02-14,-29420.300626149634
2021-02-15,-113508.11021720145
2021-02-16,-113716.7648315713
2021-02-17,-114134.074060311
2021-02-18,-118307.16634770815
2021-02-19,-117055.238661489
2021-02-20,23836.978131212727
2021-02-21,-104118.65257055797
2021-02-22,-103909.99795618808
2021-02-23,-103284.03411307851
2021-02-24,-103284.03411307851
2021-02-25,23399.60238568588
2021-02-26,-38183.79442968358
2021-02-27,-38601.10365842329
2021-02-28,-38809.75827279313
2021-03-01,-39082.41291418859
2021-03-02,-35896.3466440102
2021-03-03,-35259.13338997453
2021-03-04,-25063.721325403552
2021-03-05,-25063.721325403552
2021-03-06,-19328.802039082428
2021-03-07,24265.36064113981
2021-03-08,23597.506678539612
2021-03-09,23152.270703472856
2021-03-10,42297.417631344615
2021-03-11,43855.74354407837
2021-03-12,42520.03561887802
2021-03-13,43187.88958147818
2021-03-14,44300.97951914516
2021-03-15,19590.38290293856
2021-03-16,13579.697239536956
2021-03-17,10240.427426536058
2021-03-18,10017.809439002664
2021-03-19,24042.742653606412
2021-03-20,24042.742653606412
2021-03-21,15805.877114870898
2021-03-22,16028.495102404264
2021-03-23,15138.023152270704
2021-03-24,15138.023152270704
2021-03-25,14470.169189670514
2021-03-26,24042.742653606412
2021-03-27,-8920.985556499581
2021-03-28,-9133.389974511478
2021-03-29,-36321.155480033995
2021-03-30,-36745.96431605779
2021-03-31,23820.124666073018
2021-04-01,24042.742653606412
2021-04-02,24265.36064113981
2021-04-03,-41418.861512319454
2021-04-04,-54587.93542905695
2021-04-05,-55225.14868309262
2021-04-06,-51401.8691588785
2021-04-07,-48640.6117247239
2021-04-08,24265.36064113981
2021-04-09,34951.02404274266
2021-04-10,36286.731967943015
2021-04-11,36954.58593054317
2021-04-12,49643.811219946576
2021-04-13,49421.19323241318
2021-04-14,49421.19323241318
2021-04-15,67453.250222618
2021-04-16,73241.31789848619
2021-04-17,73018.69991095283
2021-04-18,151602.84951024043
2021-04-19,150934.99554764025
2021-04-20,150267.1415850401
2021-04-21,151157.61353517364
2021-04-22,158058.7711487088
2021-04-23,24487.978628673205
2021-04-24,187444.34550311667
2021-04-25,159171.8610863758
2021-04-26,223508.4594835263
2021-04-27,225512.02137132685
2021-04-28,229964.3811219947
2021-04-29,229073.9091718611
2021-04-30,159171.8610863758
2021-05-01,211102.78524937795
2021-05-02,-150000.0
2021-05-03,89141.2912761289
2021-05-04,-149226.80412371122
2021-05-05,-149226.80412371122
2021-05-06,843600.7656222744
2021-05-07,863049.7746279753
2021-05-08,860618.6485022624
2021-05-09,334685.02997310215
2021-05-10,332253.90384738945
2021-05-11,332253.90384738945
2021-05-12,578608.0179196002
2021-05-13,691250.1950776177
2021-05-14,685577.5674509549
2021-05-15,592384.3992986383
2021-05-16,590763.6485481634
2021-05-17,579418.3932948378
2021-05-18,562400.5104148496
2021-05-19,564021.2611653246
2021-05-20,572935.3902929374
2021-05-21,735010.4653404446
2021-05-22,602919.2791767262
2021-05-23,582659.894795788
2021-05-24,568073.1380415123
2021-05-25,332253.90384738945
2021-05-26,333874.65459786454
2021-05-27,362237.79273117834
2021-05-28,346030.28522642754
2021-05-29,334685.02997310215
2021-05-30,332253.90384738945
2021-05-31,332253.90384738945
2021-06-01,341978.40835024
2021-06-02,342788.78372547746
2021-06-03,329822.7777216769
2021-06-04,329822.7777216769
2021-06-05,350082.1621026153
2021-06-06,346840.66060166515
2021-06-07,333874.65459786454
2021-06-08,333064.279222627
2021-06-09,412481.06599590555
2021-06-10,415722.5674968556
2021-06-11,559969.384289137
2021-06-12,558348.6335386619
2021-06-13,559969.384289137
2021-06-14,574556.1410434125
2021-06-15,603729.6545519638
2021-06-16,616695.6605557643
2021-06-17,666938.9338204917
2021-06-18,669370.0599462043
2021-06-19,626420.1650586148
2021-06-20,621557.9128071896
2021-06-21,591574.0239234008
2021-06-22,576987.2671691254
2021-06-23,372772.67260926624
2021-06-24,371151.9218587911
2021-06-25,350892.5374778528
2021-06-26,176661.83180178274
2021-06-27,179092.95792749527
2021-06-28,172609.95492559508
2021-06-29,141005.31529133112
2021-06-30,108590.3002818297
2021-07-01,30053.428317008016
2021-07-02,31389.13624220837
2021-07-03,30498.66429207481
2021-07-04,26936.776491540513
2021-07-05,26936.776491540513
2021-07-06,24487.978628673205
2021-07-07,45414.06945681212
2021-07-08,46081.92341941228
2021-07-09,45191.45146927872
2021-07-10,37622.43989314337
2021-07-11,36954.58593054317
2021-07-12,34728.40605520926
2021-07-13,28049.86642920747
2021-07-14,30276.04630454141
2021-07-15,30498.66429207481
2021-07-16,30943.900267141573
2021-07-17,25601.068566340164
2021-07-18,15360.641139804102
2021-07-19,14470.169189670514
2021-07-20,10463.045414069456
2021-07-21,11130.899376669648
2021-07-22,20703.47284060551
2021-07-23,-40994.05267629565
2021-07-24,69902.04808548532
2021-07-25,70124.66607301868
2021-07-26,68121.10418521818
2021-07-27,69679.43009795193
2021-07-28,59439.00267141587
2021-07-29,54096.170970614425
2021-07-30,55209.26090828138
2021-07-31,65004.45235975067
2021-08-01,64559.21638468388
2021-08-02,81478.18343722174
2021-08-03,82146.03739982193
2021-08-04,24487.978628673205
2021-08-05,24265.36064113981
2021-08-06,23374.88869100622
2021-08-07,16918.967052537853
2021-08-08,16473.73107747106
2021-08-09,20703.47284060551
2021-08-10,21816.562778272502
2021-08-11,15360.641139804102
2021-08-12,14692.787177203909
2021-08-13,23820.124666073018
2021-08-14,23597.506678539612
2021-08-15,24265.36064113981
2021-08-16,46081.92341941228
2021-08-17,24487.978628673205
2021-08-18,61665.182546749784
2021-08-19,62333.03650934997
2021-08-20,61665.182546749784
2021-08-21,75690.11576135353
2021-08-22,-41206.45709430758
2021-08-23,65672.30632235084
2021-08-24,65004.45235975067
2021-08-25,66785.39626001782
2021-08-26,66785.39626001782
2021-08-27,48085.485307212824
2021-08-28,34505.788067675865
2021-08-29,-41206.45709430758
2021-08-30,20703.47284060551
2021-08-31,20035.618878005353
2021-09-01,20035.618878005353
2021-09-02,8459.483526268912
2021-09-03,-40781.648258283785
2021-09-04,-40781.648258283785
2021-09-05,24042.742653606412
2021-09-06,24265.36064113981
2021-09-07,28049.86642920747
2021-09-08,28717.720391807663
2021-09-09,29385.574354407858
2021-09-10,36954.58593054317
2021-09-11,45636.68744434552
2021-09-12,45414.06945681212
2021-09-13,67008.01424755123
2021-09-14,67008.01424755123
2021-09-15,53428.31700801426
2021-09-16,53205.69902048087
2021-09-17,-40994.05267629565
2021-09-18,24265.36064113981
2021-09-19,34505.788067675865
2021-09-20,34728.40605520926
2021-09-21,38512.911843276925
2021-09-22,32947.46215494212
2021-09-23,32279.608192341955
2021-09-24,28717.720391807663
2021-09-25,24265.36064113981
2021-09-26,31611.754229741764
2021-09-27,32724.84416740872
2021-09-28,31389.13624220837
2021-09-29,43855.74354407837
2021-09-30,43855.74354407837
2021-10-01,44078.361531611765
2021-10-02,73686.55387355298
2021-10-03,77471.05966162067
2021-10-04,78138.91362422083
2021-10-05,81032.94746215495
2021-10-06,91941.2288512912
2021-10-07,92386.464826358
2021-10-08,24487.978628673205
2021-10-09,91495.9928762244
2021-10-10,111531.61175422974
2021-10-11,91941.2288512912
2021-10-12,91941.2288512912
2021-10-13,91718.6108637578
2021-10-14,107747.1059661621
2021-10-15,110418.52181656282
2021-10-16,113535.17364203028
2021-10-17,111531.61175422974
2021-10-18,104630.45414069458
2021-10-19,104630.45414069458
2021-10-20,92163.8468388246
2021-10-21,91941.2288512912
2021-10-22,116206.589492431
2021-10-23,126224.39893143366
2021-10-24,126224.39893143366
2021-10-25,126669.63490650046
2021-10-26,119100.62333036512
2021-10-27,109528.0498664292
2021-10-28,110641.1398040962
2021-10-29,113535.17364203028
2021-10-30,115538.7355298308
2021-10-31,120658.94924309886
2021-11-01,119768.4772929653
2021-11-02,72128.22796081923
2021-11-03,68343.72217275157
2021-11-04,41406.94568121106
2021-11-05,41406.94568121106
2021-11-06,41629.56366874443
2021-11-07,39848.61976847731
2021-11-08,39403.38379341052
2021-11-09,19590.38290293856
2021-11-10,20480.854853072116
2021-11-11,19590.38290293856
2021-11-12,222.61798753339724
2021-11-13,667.8539626001917
2021-11-14,28049.86642920747
2021-11-15,81923.41941228854
2021-11-16,86375.77916295639
2021-11-17,91941.2288512912
2021-11-18,91718.6108637578
2021-11-19,24042.742653606412
2021-11-20,58103.2947462155
2021-11-21,92163.8468388246
2021-11-22,91495.9928762244
2021-11-23,156945.68121104187
2021-11-24,159171.8610863758
2021-11-25,142030.27604630456
2021-11-26,143588.6019590383
2021-11-27,102181.65627782723
2021-11-28,86375.77916295639
2021-11-29,67008.01424755123
2021-11-30,66785.39626001782
2021-12-01,52315.22707034728
2021-12-02,54318.78895814782
2021-12-03,67453.250222618
2021-12-04,67453.250222618
2021-12-05,67230.63223508459
2021-12-06,24265.36064113981
2021-12-07,12466.60730187
2021-12-08,3339.2698130008976
2021-12-09,2448.7978628673086
2021-12-10,3116.6518254675
2021-12-11,24042.742653606412
2021-12-12,-38020.39082412913
2021-12-13,-37807.986406117256
2021-12-14,24265.36064113981
2021-12-15,24265.36064113981
2021-12-16,24265.36064113981
2021-12-17,24265.36064113981
2021-12-18,-96219.20135938827
2021-12-19,-96219.20135938827
2021-12-20,-35683.942225998326
2021-12-21,-35259.13338997453
2021-12-22,-12319.456244689907
2021-12-23,-5947.323704333055
2021-12-24,-2973.6618521665273
2021-12-25,24042.742653606412
2021-12-26,15138.023152270704
2021-12-27,14915.405164737307
2021-12-28,14024.93321460375
2021-12-29,14024.93321460375
2021-12-30,14692.787177203909
2021-12-31,12689.2252894034
2022-01-01,9046.052631578952
2022-01-02,9375.000000000013
2022-01-03,17598.684210526313
2022-01-04,17598.684210526313
2022-01-05,16940.789473684217
2022-01-06,17269.736842105252
2022-01-07,20723.68421052631
2022-01-08,21052.631578947367
2022-01-09,15953.947368421062
2022-01-10,15296.05263157894
2022-01-11,15460.526315789473
2022-01-12,13651.315789473692
2022-01-13,3782.8947368421145
2022-01-14,3947.368421052621
2022-01-15,17598.684210526313
2022-01-16,-7218.675937933189
2022-01-17,-4393.976657872382
2022-01-18,2138.1578947368403
2022-01-19,7565.789473684206
2022-01-20,10855.26315789473
2022-01-21,13651.315789473692
2022-01-22,15131.578947368413
2022-01-23,16282.894736842101
2022-01-24,17598.684210526313
2022-01-25,-30130.12565398203
2022-01-26,42434.210526315794
2022-01-27,46052.63157894738
2022-01-28,42763.157894736854
2022-01-29,36348.68421052631
2022-01-30,17763.157894736843
2022-01-31,15460.526315789473
2022-02-01,14473.684210526317
2022-02-02,2302.63157894737
2022-02-03,2796.052631578937
2022-02-04,-1098.4941644680957
2022-02-05,-3766.2657067477435
2022-02-06,-3609.3379689666053
2022-02-07,-17575.906631489528
2022-02-08,-18046.68984483298
2022-02-09,-17732.834369270666
2022-02-10,-10984.941644680954
2022-02-11,-5492.470822340477
2022-02-12,1809.2105263157812
2022-02-13,1644.736842105274
2022-02-14,-1098.4941644680957
2022-02-15,-627.7109511246167
2022-02-16,4605.26315789474
2022-02-17,5427.6315789473665
2022-02-18,17927.631578947374
2022-02-19,12171.052631578948
2022-02-20,12171.052631578948
2022-02-21,-30130.12565398203
2022-02-22,17763.157894736843
2022-02-23,17927.631578947374
2022-02-24,50164.47368421054
2022-02-25,50164.47368421054
2022-02-26,17927.631578947374
2022-02-27,-30130.12565398203
2022-02-28,-30130.12565398203
2022-03-01,67598.6842105263
2022-03-02,48684.210526315794
2022-03-03,48026.31578947369
2022-03-04,46546.05263157894
2022-03-05,38651.31578947368
2022-03-06,38815.78947368421
2022-03-07,41611.84210526317
2022-03-08,24177.631578947363
2022-03-09,23848.684210526328
2022-03-10,17598.684210526313
2022-03-11,6907.8947368421095
2022-03-12,6414.473684210521
2022-03-13,6414.473684210521
2022-03-14,-5492.470822340477
2022-03-15,-5492.470822340477
2022-03-16,6414.473684210521
2022-03-17,7236.842105263171
2022-03-18,8552.631578947361
2022-03-19,16776.315789473687
2022-03-20,-784.6386889057766
2022-03-21,-1726.2051155927122
2022-03-22,-941.566426686936
2022-03-23,0.0
2022-03-24,-1098.4941644680957
2022-03-25,-1098.4941644680957
2022-03-26,-30130.12565398203
2022-03-27,17598.684210526313
2022-03-28,17763.157894736843
2022-03-29,24671.05263157895
2022-03-30,24506.57894736842
2022-03-31,39802.63157894737
2022-04-01,-30287.05339176317
2022-04-02,45559.210526315794
2022-04-03,43585.52631578948
2022-04-04,43256.57894736842
2022-04-05,41776.31578947367
2022-04-06,41611.84210526317
2022-04-07,42269.73684210527
2022-04-08,42105.26315789473
2022-04-09,42105.26315789473
2022-04-10,41940.789473684206
2022-04-11,41776.31578947367
2022-04-12,25328.94736842105
2022-04-13,23026.31578947368
2022-04-14,21710.526315789488
2022-04-15,29605.263157894726
2022-04-16,30263.15789473685
2022-04-17,37500.0
2022-04-18,38651.31578947368
2022-04-19,39967.10526315789
2022-04-20,55263.15789473684
2022-04-21,55592.1052631579
2022-04-22,54934.210526315794
2022-04-23,-30287.05339176317
2022-04-24,62664.47368421054
2022-04-25,63322.36842105264
2022-04-26,67927.63157894739
2022-04-27,68421.05263157896
2022-04-28,65953.94736842107
2022-04-29,65789.47368421053
2022-04-30,67763.15789473685
2022-05-01,67598.6842105263
2022-05-02,74177.63157894737
2022-05-03,74671.05263157895
2022-05-04,72203.94736842105
2022-05-05,68092.10526315791
2022-05-06,67927.63157894739
2022-05-07,67598.6842105263
2022-05-08,65953.94736842107
2022-05-09,66611.84210526315
2022-05-10,64802.631578947374
2022-05-11,54934.210526315794
2022-05-12,54111.84210526315
2022-05-13,52302.631578947374
2022-05-14,-30287.05339176317
2022-05-15,36513.15789473684
2022-05-16,37171.052631578954
2022-05-17,37500.0
2022-05-18,37664.47368421053
2022-05-19,-30130.12565398203
2022-05-20,-30287.05339176317
2022-05-21,42269.73684210527
2022-05-22,42598.68421052632
2022-05-23,17763.157894736843
2022-05-24,17763.157894736843
2022-05-25,26480.263157894733
2022-05-26,24671.05263157895
2022-05-27,15625.0
2022-05-28,16282.894736842101
2022-05-29,16447.368421052626
2022-05-30,12335.526315789475
2022-05-31,12006.578947368418
2022-06-01,19736.842105263153
2022-06-02,20065.789473684214
2022-06-03,19407.89473684212
2022-06-04,-30130.12565398203
2022-06-05,904.6052631578906
2022-06-06,33388.15789473684
2022-06-07,39309.2105263158
2022-06-08,39473.68421052632
2022-06-09,36842.1052631579
2022-06-10,15953.947368421062
2022-06-11,15789.47368421053
2022-06-12,18092.1052631579
2022-06-13,17927.631578947374
2022-06-14,-23225.30519161114
2022-06-15,-23696.088404954597
2022-06-16,-20243.678173769174
2022-06-17,-19929.822698206855
2022-06-18,-2040.0605911550313
2022-06-19,3124.999999999996
2022-06-20,7236.842105263171
2022-06-21,18092.1052631579
2022-06-22,17763.157894736843
2022-06-23,-30287.05339176317
