date,lth_net_change_30d
2020-10-10,-8659.742904246194
2020-10-11,-5455.271837468884
2020-10-12,-4854.39664264219
2020-10-13,-5290.151501429043
2020-10-14,-7947.89315342605
2020-10-15,-2458.4714657643794
2020-10-16,-2651.491890498563
2020-10-17,-7333.336873784734
2020-10-18,1762.4740814897214
2020-10-19,-5323.292794640515
2020-10-20,-5159.25774724656
2020-10-21,-3662.558543127013
2020-10-22,-3203.3893702719165
2020-10-23,-7235.971750370355
2020-10-24,-8692.258828826914
2020-10-25,-5620.155538370716
2020-10-26,-2960.8197502759112
2020-10-27,1931.4511326222362
2020-10-28,-7793.983919284611
2020-10-29,-7136.376528079278
2020-10-30,-2750.0819150713173
2020-10-31,-7381.513500939252
2020-11-01,-3823.279524214111
2020-11-02,-2931.180968564144
2020-11-03,-637.2132540356881
2020-11-04,-828.3772302463884
2020-11-05,-764.6559048428188
2020-11-06,7146.037399821905
2020-11-07,7212.822796081923
2020-11-08,-27209.0059473237
2020-11-09,7212.822796081923
2020-11-10,-36066.270178419705
2020-11-11,-36066.270178419705
2020-11-12,7146.037399821905
2020-11-13,7212.822796081923
2020-11-14,7146.037399821905
2020-11-15,7212.822796081923
2020-11-16,7346.393588601962
2020-11-17,7212.822796081923
2020-11-18,-15484.282073067126
2020-11-19,-15038.232795242151
2020-11-20,-14146.13423959219
2020-11-21,-12234.494477485136
2020-11-22,1469.278717720394
2020-11-23,1803.2056990204808
2020-11-24,7212.822796081923
2020-11-25,7747.1059661620675
2020-11-26,7813.891362422087
2020-11-27,7546.74977738201
2020-11-28,7813.891362422087
2020-11-29,7947.4621549421145
2020-11-30,12488.869100623328
2020-12-01,12555.654496883348
2020-12-02,11420.302760463046
2020-12-03,11019.590382902943
2020-12-04,11019.590382902943
2020-12-05,10886.019590382904
2020-12-06,16829.91985752449
2020-12-07,17097.061442564558
2020-12-08,17097.061442564558
2020-12-09,7279.608192341943
2020-12-10,-12298.215802888695
2020-12-11,17297.417631344615
2020-12-12,17297.417631344615
2020-12-13,17430.98842386465
2020-12-14,17764.91540516474
2020-12-15,17831.70080142476
2020-12-16,17831.70080142476
2020-12-17,17564.559216384685
2020-12-18,7212.822796081923
2020-12-19,-12234.494477485136
2020-12-20,14492.430988423866
2020-12-21,15093.499554764028
2020-12-22,14759.572573463933
2020-12-23,19434.55031166518
2020-12-24,20235.9750667854
2020-12-25,21237.756010685665
2020-12-26,27315.227070347293
2020-12-27,27114.870881567233
2020-12-28,7346.393588601962
2020-12-29,29118.432769367773
2020-12-30,28984.861976847733
2020-12-31,26580.58771148709
2021-01-01,103133.20079522862
2021-01-02,103395.62624254472
2021-01-03,104182.902584493
2021-01-04,114679.92047713716
2021-01-05,115729.6222664016
2021-01-06,104970.17892644134
2021-01-07,89487.07753479126
2021-01-08,106544.73161033796
2021-01-09,107069.58250497017
2021-01-10,107594.43339960238
2021-01-11,107856.85884691848
2021-01-12,107594.43339960238
2021-01-13,106282.30616302183
2021-01-14,107856.85884691848
2021-01-15,112318.09145129225
2021-01-16,108381.70974155072
2021-01-17,108906.56063618294
2021-01-18,124914.51292246516
2021-01-19,132787.27634194828
2021-01-20,131212.72365805172
2021-01-21,108381.70974155072
2021-01-22,164803.18091451292
2021-01-23,108644.13518886681
2021-01-24,249304.17495029818
2021-01-25,249829.02584493044
2021-01-26,248516.89860834985
2021-01-27,108381.70974155072
2021-01-28,108644.13518886681
2021-01-29,261638.17097415507
2021-01-30,264000.0
2021-01-31,247729.62226640154
2021-02-01,285715.7057654075
2021-02-02,261769.3836978131
2021-02-03,261113.32007952282
2021-02-04,-60092.52893851844
2021-02-05,142037.77335984097
2021-02-06,138101.3916500994
2021-02-07,132524.85089463217
2021-02-08,45596.421471172944
2021-02-09,40675.94433399604
2021-02-10,22962.22664015906
2021-02-11,-20656.806822615687
2021-02-12,-44756.41478233403
2021-02-13,-45069.39670388878
2021-02-14,-44130.45093922444
2021-02-15,-170262.16532580217
2021-02-16,-170575.14724735694
2021-02-17,-171201.1110904665
2021-02-18,-177460.74952156225
2021-02-19,-175582.8579922335
2021-02-20,35755.46719681909
2021-02-21,-156177.97885583693
2021-02-22,-155864.99693428213
2021-02-23,-154926.0511696178
2021-02-24,-154926.0511696178
2021-02-25,35099.40357852882
2021-02-26,-57275.69164452537
2021-02-27,-57901.65548763494
2021-02-28,-58214.637409189694
2021-03-01,-31265.930331350875
2021-03-02,-28717.07731520816
2021-03-03,-28207.306711979625
2021-03-04,-20050.977060322843
2021-03-05,-20050.977060322843
2021-03-06,-15463.041631265944
2021-03-07,19412.288512911848
2021-03-08,18878.00534283169
2021-03-09,18521.816562778284
2021-03-10,33837.93410507569
2021-03-11,35084.594835262695
2021-03-12,34016.028495102415
2021-03-13,34550.31166518255
2021-03-14,35440.78361531613
2021-03-15,15672.306322350849
2021-03-16,10863.757791629565
2021-03-17,8192.341941228848
2021-03-18,8014.247551202131
2021-03-19,19234.194122885132
2021-03-20,19234.194122885132
2021-03-21,12644.70169189672
2021-03-22,12822.796081923412
2021-03-23,12110.418521816564
2021-03-24,12110.418521816564
2021-03-25,11576.135351736411
2021-03-26,19234.194122885132
2021-03-27,-7136.788445199665
